Day,Event Number,Event Name,Event ID
Day 1,1,womens100free,6
Day 1,2,mens100back,24
Day 1,3,mens100breast,18
Day 1,4,womens200back,0
Day 1,5,mens200free,21
Day 1,6,womens50breast,15
Day 1,7,womens100fly,7
Day 1,8,mens50fly,33
Day 1,9,womens1000free,9
Day 1,10,mens200im,17
Day 1,11,womens50free,11
Day 1,12,womens200im,1
Day 1,13,mens1000free,32
Day 1,14,mens100i,23
Day 1,15,womens500free,10
Day 1,16,womens200breast,16
Day 1,17,mens100free,19
Day 1,18,womens50back,4
Day 1,19,mens400IM,27
Day 1,20,womens400IM,12
Day 1,21,mens50breast,28
Day 1,22,womens50fly,5
Day 1,23,mens200fly,20
Day 1,24,mens200back,26
Day 1,25,womens100breast,14
Day 1,26,mens50Free,30
Day 1,27,womens200free,8
Day 1,28,mens500free,29
Day 1,29,womens100back,3
Day 1,30,mens200breast,22
Day 1,31,womens200fly,13
Day 1,32,mens100fly,25
Day 1,33,womens100im,2
Day 1,34,mens50back,31
